Hogar;Persona;AnoNac;Sexo;Relacion;Viajes;LicenciaConducir;PaseEscolar;AdultoMayor;Estudios;Curso;Actividad;Ocupacion;1ctividad5mpresa;JornadaTrabajo;4onde5studia;4ir1ctividad3oordX;4ir1ctividad3oordY;4ir5studios3oordX;4ir5studios3oordY;NoViaja;Tarjeta2ip;Tarjeta22ip;Medio;3onoceTransantiago;NoUsaTransantiago;4iscapacidad;TieneIngresos;Ingreso;TramoIngreso;Ingreso6inal;TramoIngreso6inal;IngresoImputado;6actor_LaboralNormal;6actor_SabadoNormal;6actor_4omingoNormal;6actor_Laboral5stival;6actor_6indesemana5stival;6actor
112791;11279102;1993;1;3;2;1;2;2;5;4;1;5;8;1;2;343811,51;6306721,17;2;2;2;3;2;2;1;5;J;1;350000;2;350000;2;0;373,0355;2;2;2;2;122,40007
112791;11279103;1972;2;2;2;1;2;2;5;4;1;5;2;1;2;343811,51;6306721,17;2;2;2;3;2;2;1;5;J;1;370000;2;370000;2;0;330,0769;2;2;2;2;106,42846
112821;11282102;1973;2;2;2;3;2;2;5;4;1;5;8;1;2;349264;6294587,23;2;2;2;3;2;4;1;5;J;1;3;3;669551;3;2;69,18306;2;2;2;2;11,62395
112871;11287101;1961;2;1;2;3;2;2;5;4;4;2;2;2;2;2;2;2;2;2;3;2;2;1;5;J;2;0;0;0;0;0;384,3544;2;2;2;2;111,37147
112871;11287102;1983;2;3;2;3;2;2;5;4;4;2;2;2;2;2;2;2;2;2;3;2;2;1;5;J;2;0;0;0;0;0;273,6855;2;2;2;2;82,80555
112871;11287103;1960;1;2;2;3;2;2;5;4;1;2;5;1;2;345412,2322;6304430,983;2;2;2;3;2;3;1;1;J;1;600000;3;600000;3;0;384,355;2;2;2;2;121,59315
112941;11294101;1984;1;1;2;4;2;2;5;4;1;5;2;1;2;343811,51;6306721,17;2;2;2;3;2;2;1;5;J;1;350000;2;350000;2;0;2;2;2;401;2;16,36008
112951;11295105;1977;1;3;2;4;2;2;5;4;1;5;8;1;2;346904,93;6305278,22;2;2;2;3;2;2;1;5;J;1;3;2;312326;2;2;2;3514;2;2;2;122,84184
113091;11309101;1983;1;3;2;3;2;2;5;4;1;5;8;1;2;343283,4689;6304425,151;2;2;2;3;2;3;1;2;J;1;430000;3;430000;3;0;219,7315;2;2;2;2;71,84843
113131;11313101;1963;2;1;2;3;2;2;10;4;1;4;7;1;2;345991,7427;6301179,244;2;2;2;3;2;2;1;5;J;1;450000;3;450000;3;0;56,65594;2;2;2;2;24,82305
113161;11316101;1934;1;1;2;3;2;2;5;4;3;2;2;2;2;2;2;2;2;2;3;2;7;1;7;5;J;1;3;1;134966;1;2;169,3344;2;2;2;2;66,31224
113161;11316102;1958;1;4;2;3;2;2;5;4;7;2;2;2;2;2;2;2;2;2;2;2;7;1;7;J;2;0;0;0;0;0;232,2494;2;2;2;2;85,67377
113301;11330102;1952;1;1;2;4;2;2;5;1;1;5;5;1;2;347230,16;6304144,72;2;2;2;3;2;2;1;5;J;1;280000;2;280000;2;0;31,517;2;2;2;2;11,26018
113331;11333102;1982;1;1;2;3;2;2;10;4;1;5;8;1;2;351355,9163;6298271,801;2;2;2;3;2;3;1;1;5;J;1;600000;3;600000;3;0;533,7147;2;2;2;2;105,71098
113331;11333103;2002;2;3;2;1;1;2;4;5;2;2;2;2;4;2;2;345776,0432;6304617,242;2;2;2;2;2;1;J;2;0;0;0;0;0;533,7391;2;2;2;2;140,68564
113361;11336102;1963;1;1;2;2;2;2;5;4;1;5;5;1;2;335402,5317;6299623,392;2;2;2;3;2;3;1;5;J;1;380000;2;380000;2;0;87,00986;2;2;2;2;6,28793
113401;11340101;1980;1;1;2;3;2;2;5;4;1;5;5;1;2;346607,7917;6299565,368;2;2;2;3;2;2;1;1;J;1;3;3;439310;3;2;666,1725;2;2;2;2;62,04344
113411;11341101;1956;2;2;2;3;2;2;5;4;1;5;5;1;2;342652,9117;6306480,61;2;2;2;3;2;2;1;5;J;1;350000;2;350000;2;0;2;2;2;401;2;9,90258
113421;11342101;1982;1;1;2;3;2;2;5;4;1;5;5;1;2;0;0;2;2;2;3;2;3;1;5;J;1;400000;2;400000;2;0;255,9688;2;2;2;2;82,38156
113481;11348101;1975;2;2;2;3;2;2;5;4;4;2;2;2;2;2;2;2;2;2;3;2;4;1;5;J;2;0;0;0;0;0;2;2;2;1772;2;136,70392
113481;11348102;1972;1;1;2;3;2;2;5;4;1;5;5;1;2;346904,93;6305278,22;2;2;2;3;2;2;1;5;J;1;700000;3;700000;3;0;2;2;2;1772;2;157,82378
113501;11350103;1960;2;3;2;3;2;2;5;3;1;5;8;1;2;2;2;2;2;2;3;2;2;1;5;J;1;340000;2;340000;2;0;29,25802;2;2;2;2;96,09486
113550;11355002;1963;1;3;2;3;2;2;10;4;1;5;1;1;2;340415,9062;6310369,677;2;2;2;3;2;2;1;5;J;1;600000;3;600000;3;0;945,8843;2;2;2;2;352,98383
113801;11380102;1977;2;2;2;3;2;2;5;2;1;5;2;1;2;342503,3902;6300589,884;2;2;2;3;2;2;1;5;J;1;3;2;211379;2;2;272,5483;2;2;2;2;45,40492
113821;11382102;1977;1;1;2;3;2;2;5;4;1;5;5;1;2;346446,4;6299462,53;2;2;2;3;2;2;1;5;J;1;450000;3;450000;3;0;2;2;2;802;2;62,04344
113851;11385105;1962;1;1;2;3;2;2;5;4;1;5;5;1;2;333182,3908;6303280,696;2;2;2;3;2;2;1;5;J;1;3;3;423592;3;2;318,7349;2;2;2;2;1538,10107
113861;11386102;1984;1;4;2;3;2;2;5;4;1;5;5;1;2;343970,0799;6325098,879;2;2;2;3;2;2;1;5;J;1;500000;3;500000;3;0;2;2;2;596;2;122,87096
113891;11389102;1946;1;1;2;3;2;2;4;7;1;5;8;4;2;342832,3053;6305456,226;2;2;2;3;2;2;1;5;J;1;3;2;201719;2;2;2;2;4411,335;2;2;135,66286
113971;11397102;1992;2;3;4;4;2;2;5;4;1;5;5;1;2;346771,223;6296087,363;2;2;2;2;2;10;1;7;J;1;3;1;42087;1;2;2;2;2;1020;2;64,94193
114031;11403101;1981;2;1;2;3;2;2;10;3;1;3;3;1;2;2;2;2;2;2;2;2;4;2;7;J;1;3;3;535826;3;2;605,7103;2;2;2;2;95,26297
114031;11403103;2009;1;3;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;7;J;2;0;0;0;0;0;470,7705;2;2;2;2;75,26047
114070;11407001;1974;1;1;4;3;2;2;4;5;1;2;2;2;2;344413,901;6285518,306;2;2;2;2;2;10;2;7;J;1;3;2;302139;2;2;2;2;2;2;1106;66,44218
114091;11409102;1979;1;2;2;3;2;2;5;4;1;2;5;1;2;351874,326;6288780,716;2;2;2;3;2;2;1;5;J;1;500000;3;500000;3;0;137,5054;2;2;2;2;66,69988
114131;11413105;1985;2;4;2;1;2;2;5;4;4;2;2;2;2;2;2;2;2;2;3;2;10;2;2;J;2;0;0;0;0;0;2;2;2;594;2;45,99521
114163;11416301;1988;1;1;5;3;2;2;5;4;1;2;5;1;2;2;2;2;2;2;2;2;4;2;7;J;1;3;7;317445;2;1;175,2973;2;2;2;2;35,60742
114170;11417001;1959;1;1;2;3;2;2;5;1;1;2;8;1;2;345733,2482;6284581,202;2;2;2;2;2;4;2;2;6;J;1;3;2;219249;2;2;457,3742;2;2;2;2;130,64734
114263;11426301;1989;1;1;4;3;2;2;9;3;1;5;1;1;2;342761,1976;6306896,081;2;2;2;3;2;4;1;5;J;1;3;3;407989;3;2;2;2;2;703;2;682,28638
114263;11426302;1959;1;3;2;2;2;2;7;4;1;5;2;1;2;342480,1373;6287236,933;2;2;2;3;2;4;1;5;J;1;450000;3;450000;3;0;2;2;2;703;2;739,70337
114273;11427303;1988;1;4;4;4;2;2;5;1;1;5;2;1;2;346480,9702;6298258,56;2;2;2;3;2;2;1;5;J;1;230000;2;230000;2;0;2;2;2;2;1106;182,15079
